round,personalLdp_clipLap + Shuffle 0.1~2,unified_Lap + Shuffle 1.1,unified_Lap 0.42,NoDp,personalLdp_clipLap + Shuffle 0.1~2 debias_server
0,0.114866382,0.114866382,0.114866382,0.114866382,0.114866382
1,0.355097687,0.674432967,0.544352122,0.730294184,0.689029868
2,0.54457669,0.731417022,0.581911071,0.787109814,0.745901639
3,0.639793398,0.748147316,0.580451381,0.806029643,0.764653043
4,0.686896474,0.755445767,0.571019537,0.816247474,0.77273748
5,0.712384909,0.759151134,0.558836739,0.821524815,0.77419717
6,0.726476533,0.760330115,0.547664496,0.825847743,0.775488435
7,0.736413654,0.758533573,0.535706265,0.828486414,0.775544577
8,0.743655962,0.756624747,0.524983157,0.831349652,0.774983157
9,0.750449135,0.755108915,0.516449585,0.832977768,0.77273748
10,0.754435212,0.752975522,0.508477431,0.835841006,0.769761958
11,0.757972154,0.749831574,0.501066697,0.837918257,0.767235572
12,0.761396811,0.748428026,0.494778801,0.840107792,0.765046036
